"type";"nameDe";"nameFr";"address";"location";"zip";"descriptionDe";"descriptionFr";"coordinates";"offers";"hasWalkIn";"appointmentType";"externalLinkDe";"externalLinkFr";"vacTypes";"openingHoursDe";"openingHoursFr";"dateTimeRangeStart";"dateTimeRangeStop"
"Impftruck";"Impftruck - Moutier";"Camion de vaccination - Moutier";"Sociét’halle, Av. de la Liberté 9";"Moutier";"2740";;;"47.27913665405507, 7.373302083238976";"1,2";"true";"2";;;"mRNA";"von 08:00 bis 14:00 und 15:00 bis 18:00 ";"de 08:00 à 14:00 et 15:00 à 18:00 ";"2021-12-14T08:00:00";"2021-12-14T18:00:00"
"Impftruck";"Impftruck - Tavannes";"Camion de vaccination - Tavannes";"Place de la Gare";"Tavannes";"2710";;;"47.219908751437366, 7.201039183237765";"1,2";"true";"2";;;"mRNA";"von 08:00 bis 14:00 und 15:00 bis 18:00 ";"de 08:00 à 14:00 et 15:00 à 18:00 ";"2021-12-15T08:00:00";"2021-12-15T18:00:00"
"mobile Einheit";"mobile Einheit - Matten bei Interlaken";"Equipe mobile - Matten bei Interlaken";"Herziggässli 21";"Matten";"3800";;;"46.680544278665124, 7.869661840558854";"1,2";"true";"2";;;"mRNA";"von 14:00 Uhr bis 16:00 Uhr";"14:00 à 16:00";"2021-12-22T14:00:00";"2021-12-22T16:00:00"
"mobile Einheit";"mobile Einheit - Reichenbach";"Equipe mobile - Reichenbach";"Faltschenstrasse 1";"Reichenbach";"3713";;;"46.626784807442235, 7.695094127405377";"1,2";"true";"2";;;"mRNA";"von 09:30 Uhr bis 11:30 Uhr";"09:30 à 11:30";"2021-12-21T09:30:00";"2021-12-21T11:30:00"
"Impftruck";"Impftruck - Saanen";"Camion de vaccination - Saanen";"Bahnhofgässli 5 ";"Saanen";"3792";;;"46.48888930114746, 7.261023227402449";"1,2";"true";"2";;;"mRNA";"von 10:00 bis 14:00 und von 15:00 bis 20:00 Uhr";"de 10:00 à 14:00 et de 15:00 à 20:00";"2022-01-03T10:00:00";"2022-01-03T20:00:00"
"Impftruck";"Impftruck - Saanen";"Camion de vaccination - Saanen";"Bahnhofgässli 5 ";"Saanen";"3792";;;"46.48888930114746, 7.261023227402449";"1,2";"true";"2";;;"mRNA";"von 09:00 bis 14:00 und von 15:00 bis 18:00 Uhr";"de 09:00 à 14:00 et de 15:00 à 18:00";"2022-01-04T09:00:00";"2022-01-04T18:00:00"
"Impftruck";"Impftruck - Saanen";"Camion de vaccination - Saanen";"Bahnhofgässli 5 ";"Saanen";"3792";;;"46.48888930114746, 7.261023227402449";"1,2";"true";"2";;;"mRNA";"von 10:00 bis 14:00 und von 15:00 bis 20:00 Uhr";"de 10:00 à 14:00 et de 15:00 à 20:00";"2022-02-01T10:00:00";"2022-02-01T20:00:00"
"Impftruck";"Impftruck - Meiringen";"Camion de vaccination - Meiringen";"Bahnhofplatz 2";"Meiringen";"3860";"Tramhalle";;"46.72817495112864, 8.183830052538736";"1,2";"true";"2";;;"mRNA";"von 08:00 bis 14:00 und von 15:00 bis 18:00 Uhr";" de 08:00 à 14:00 et de 15:00 à 18:00";"2022-01-05T08:00:00";"2022-01-05T18:00:00"
"Impftruck";"Impftruck - Meiringen";"Camion de vaccination - Meiringen";"Bahnhofplatz 2";"Meiringen";"3860";"Tramhalle";;"46.72817495112864, 8.183830052538736";"1,2";"true";"2";;;"mRNA";"von 08:00 bis 14:00 und von 15:00 bis 18:00 Uhr";" de 08:00 à 14:00 et de 15:00 à 18:00";"2022-02-03T08:00:00";"2022-02-03T18:00:00"
"Impftruck";"Impftruck - Interlaken";"Camion de vaccination - Interlaken";"Alpenstrasse 5";"Interlaken";"3800";;;"46.68537681979248, 7.862474240559052";"1,2";"true";"2";;;"mRNA";"von 08:00 bis 14:00 und 15:00 bis 18:00";"de 08:00 à 14:00 et 15:00 à 18:00 ";"2022-01-06T08:00:00";"2022-01-06T18:00:00"
"Impftruck";"Impftruck - Interlaken";"Camion de vaccination - Interlaken";"Alpenstrasse 5";"Interlaken";"3800";;;"46.68537681979248, 7.862474240559052";"1,2";"true";"2";;;"mRNA";"von 08:00 bis 14:00 und 15:00 bis 18:00";"de 08:00 à 14:00 et 15:00 à 18:00 ";"2022-02-04T08:00:00";"2022-02-04T18:00:00"
"Impftruck";"Impftruck - Brienz";"Camion de vaccination - Brienz";"Hauptstrasse 283";"Brienz";"3855";;;"46.74620846224636, 8.057652225555504";"1,2";"true";"2";;;"mRNA";"von 08:00 bis 14:00 und 15:00 bis 18:00";"de 08:00 à 14:00 et 15:00 à 18:00";"2022-01-07T08:00:00";"2022-01-07T18:00:00"
"Impftruck";"Impftruck - Brienz";"Camion de vaccination - Brienz";"Hauptstrasse 283";"Brienz";"3855";;;"46.74620846224636, 8.057652225555504";"1,2";"true";"2";;;"mRNA";"von 08:00 bis 14:00 und 15:00 bis 18:00";"de 08:00 à 14:00 et 15:00 à 18:00";"2022-01-08T08:00:00";"2022-01-08T18:00:00"
